Review,Status
" Сегодня пришли в кафе. Ждали минут 10-15 когда подойдёт официант. В итоге сами подошли и взяли меню. Ждали ещё минут 5-10, никто не подошёл, пришлось самим искать официанта. Наконец подошёл. Взял заказ. Спасибо посидели, хотели уйти и опять нет...  читать  полностью ",0
" 2 дня подряд в приложение не попали заказы, а соответственно не начислили бонусы, неоднократно писала в службу поддержки я и сотрудники кафе (Бирюзова, №32), даже не желают отвечать, обратной связи никакой, полный беспредел и уже не первый раз,...  читать  полностью ",0
" Здравствуйте. Сегодня заходила попить кофе по адресу Москва, Страстной бульвар д. 6 с. 1 Принесли чашку кофе, начала пить без трубочки и в какой-то момент почувствовала укол. Проведя пальцем по губам, обнаружила малюсенький кусочек стекла. Оказалось...  читать  полностью ",0
" Внуково, Шоколадница (рядом с Виктория Сикрет). Столики грязные: в кофейных пятнах. Какао принесли холодный и переслащеный до невозможности. В зале сидят 8 клиентов. Я ждала свой заказ полчаса: три несчастных блинчика. Принесли бледное безвкусное,...  читать  полностью ",0
" Посетили кофейню вечером 30 июля 2019. Заказали горячее и чай с десертом. Лучше всего хозяйке удался чай, хотя кружки подали как на завтрак. Десерты ужасные, классический наполеон и японская фисташка ничего общего с десертами, кроме внешнего вида, не...  читать  полностью ",0
" 31.03.19 сидим уже пол часа с мужем и детьми. Сначала официант пошла за блокнотом и забыла вернуться, потом позвали, она пришла и решила что все запомнит. Потом поняла что не запомнит опять ушла за блокнотом. Записала и пропала. Со всех сторон...  читать  полностью ",0
" В Шоколаднице (Атриум, возле магазина Зара) очень долго обслуживают. Заказ подали через час ожидания.  ",0
 Добрый день! 07.11.2018 года был в Шоколаднице на Пушкинской в Москве. Время нахождения в кофейне 19:00. Заказал ужин плюс еще кое-что из меню. Ранее брал в Шоколаднице на Аннино свежевыжатый сок из грейпфрутов за 149 рублей согласно меню. Решил...  читать  полностью ,0
" ""Шоколадница"" на Малой Дмитровке, дом 4. Сегодня 6 ноября 2018 г, примерно в 15.55 зашла в это кафе на ланч. В зале работал всего один официант - молодой парень с крашенными волосами. Он ОБРАТИЛ ВНИМАНИЕ, как я прошла в зал и села за столик, НО! этот...  читать  полностью ",0
" Время посещения было утреннее, зашла попить чай и съесть ролл с семгой. Обстановка внутри приятна, немноголюдно, официант молодой человек в очках, очень услужливый и быстрый. Но! Пока пребывала в заведении, аж, голова заболела от ругани и постоянных...  читать  полностью ",0
"
            В июне 2018 г. был в Шоколаднице на Каширской (ТЦ Москворечье), заказал большой американо. Принесли ну откровенно обычный растворимый кофе, этот кисло-вязкий привкус ни с чем не перепутаешь. За 200 с лишним рублей это просто неприлично. Или может...                            читать
                    полностью
",0
"
            1) адрес кофейни - Маросейка, 3/13с1;
2) дата, время - 29 апреля, 14-00 Мск;
3) имя официанта (если знаете);
4) суть проблемы - Впервые сталкиваюсь с такой паршивой кухней в данной сети, сюрпризы начались почти сразу.
4.1. Заказали пиво -...                            читать
                    полностью
",0
"
            Чтобы тебе дали мерный стакан, надо самому подойти в бар. ладно. но при этом надо выслушать хамство и препирательства бармена (бариста)! О, чудо, после перепалки вам швырнут мерный стаканчик! И тут второе чудо - из заявленных 30 мл эспрессо в чашечке...                            читать
                    полностью
",0
"
            27 февраля 2018 в 6.55 была в Шоколаднице, на ул Валовой. Больше 35 мин ждала вегетарианский омлет, не дождалась. На просьбу о жалобной книге официантка привела администратора, которая пыталась давить на жалость. Жалобной книги я не дождалась тоже.                    ",0
"
            Сегодня 12.02.2018 в 14.00 зашли на ланч в Шоколадницу на 1905 года. Паровые котлетки, рис типа дикий, блинчики с мясом, да и с малиной просто гадость, даже хлеб тостовый с привкусом не свежести. Только чай с чабрецом, и суп лапша куриный можно есть...                            читать
                    полностью
",0
"
            Была в Шоколаднице на Китай-Городе 14 января (воскресение).
Заказала себе пасту ""Альфредо"", чизкейк обычный и глинтвейн. По вкусу еда была нормальной. 

Через пару часов начала плохо себя чувствовать. Крутил живот, появилась слабость и общее...                            читать
                    полностью
",0
"
            Вчера с подругами была в Шоколаднице по адресу: Сретенка, 16. Взяла блины с ветчиной и сыром. Через пару часов почувствовала боль в животе. Сегодня с утра совсем плохо стало. Тошнит и с унитаза не слажу. Сколько раньше слышала об отравлениях в сети...                            читать
                    полностью
",0
"
            Ужинала в шоколаднице в Долгопрудном каждый день, являлась постоянным клиентом. После одного случая я в шоколадницу больше не пойду никогда в жизни. 15.11.2017 зашли с друзьями в 21:30, хотели быстро поужинать. Меню подали сразу, а вот заказ приняли...                            читать
                    полностью
",0
"
            Не понимаю, за что такие цены - как кофе может стоить 300 р? И больше? Почему? В нем молоко единорога? Еду принесли холодную - с салатом, если еще все понятно, то с блинчиками - лично мне - не очень. За что так с блинчиками? Неужели повар просто...                            читать
                    полностью
",0
"
            19 октября посетила с подругой Шоколадницу на улице Автозаводская. После основного заказа попросили официантку Диану принести чайник чая. Получили его только через 40 минут! Подождав достаточно времени для заваривания чая, я поднялась из-за стола и...                            читать
                    полностью
",0
"
            17.09.2017 г. была с детьми в шоколаднице. Заказали десерт и милкшейк. Нашли в десерте волосы. Отвратительно! Настроение было испорчено, дети расстроены, деньги не вернули за недоеденный десерт. Больше ни ногой туда! Менеджера ждали долго. Никому не...                            читать
                    полностью
",0
"
            Купила кофе с собой. Дали до верха горячий стакан без крышки. Так, что нести нельзя. Где крышка? Крышки закончились. отлично! На фиг тогда продавать кофе с собой?! Или хотя бы предупредили перед тем, как деньги взять. Пока донесла до машины, офигела....                            читать
                    полностью
",0
"
            Зашла с двумя детьми в Шоколадницу в ТЦ ""Круг"", станция метро Бульвар Дмитрия Донского. Старшему ребенку 4 года младший был в коляске 3 месяца. Кафе было полупустым. Из удобных пустых столиков, я выбрала наиболее подходящее, чтобы поставить...                            читать
                    полностью
",0
"
            Сегодня утром поинтересовалась в кофейне в ТЦ Свиблово, почему на акцию Ролл на бегу не предоставляется скидка 10% при оплате MasterCard. Перед глазами у меня, как и у любого клиента, есть информация о том, что скидка по MasterCard суммируется с...                            читать
                    полностью
",0
"
            Перед работой зашла перекусить в шоколадницу, заказала крем суп с шампиньонами и большой капучино с собой, доела суп и хотела зайти домой (забыла проездной, слава Богу, что сразу на работу не поехала). Сделала пару глотков кофе и резко прихватил...                            читать
                    полностью
",0
"
            Последний год кошмарно медленное обслуживание. Всегда останавливаюсь на 3-м этаже. Официантов приходиться зазывать ором сверху вниз. Срабатывает, кстати, не всегда. Кричат все посетители, по-другому официанта не дождаться. И проверьте кофе или...                            читать
                    полностью
",0
"
            Замечательный тариф ""На бегу"" - это минимум 16 минут ожидания! По крайней мере на Шаболовской.
Если спешите и нужен кофе - вам НЕ в Шоколадницу.                    ",0
"
            Решил попить кофе, который с собой за 119 руб. Напиток забавный, от кофе только цвет. Не буду утверждать, но, по-моему, готовится из уже раз использованного кофейного жмыха, иначе не могу объяснить такой вкус и полное отсутствие запаха, хоть...                            читать
                    полностью
",0
