Review,Status
" Отвратительное качество в доставке! Заказ 20578748! В заказе был Кроненбург Блан, причем 860 руб литр, и который раз привозят кислятину! Прошлый раз было чуток кислое! Сегодня вообще пить не возможно! 1700 руб за 2 литра пива которое просто вылить...  читать  полностью ",0
"
            Привезли пиццу, ждали 1 час, в итоге: 1 ветчина с сыром более менее, а четыре сыра просто ужас! Мы заказывали 23 см, нам сказали можно только 30 см. А потом мы поняли, что 30 см у них кто-то отказался. И они нам ее подпихнули. Она была как резиновая...                            читать
                    полностью
",0
"
            Жуткое отравление! Сделала заказ на дом. Через часов 5 сильная резь в животе, озноб, температура, диарея, слабость. Приняла меры против отравления. Плохо до сих пор. Если лучше не станет, то привет скорая! Жива останусь, еще спишемся и увидимся!                    ",0
"
            Это отличный ресторан и я люблю бывать. Шикарный интерьер в стиле Японии, хорошо готовят роллы, но цены конечно самые высокие в городе.                    ",1
"
            Завтракали сегодня, все вполне съедобно - сырники на четверку, фреш не сильно разбавленный, эспрессо вообще отличный. В общем, нормально и бюджетно.                    ",1
"
            Частенько мудрят с заказами, один раз вынесли наш заказ в чужую машину.                    ",0
"
            В выходные заходили и на Поварскую, и на Новый Арбат, больше никуда не тянуло. Во втором особенно рекомендую караоке, оно у них на высоком уровне! В общем, ели, пили, гуляли, танцевали, так, что больше пока не хочется)))                    ",1
"
            Напишу коротко. Частенько с мужем бываем. Зашла значит купить, баскет 16 крыльев, домой. Сделала заказ, попросили подождать, так как нет готовых. Вручили пакет с соусами и чеком мол ожидайте. Подхожу значит забирать мне коробку в пакет и все, а...                            читать
                    полностью
",0
"
            Заехала в ""Макдоналдс"", заказала биф ролл и, что я увидела? Ужас, котлета горелая, а на вкус горькая. Вернувшись обратно и показав это, меня пытались убедить, что она и должна быть черного цвета, даже показали поддон, где они готовились - там все...                            читать
                    полностью
",0
"
            Такая легкая кофейня. Здесь и интерьер простой, без особых изысков, но приятный, и музыка легкая жизнерадостная играет. Выбор десертов огромный, десерты очень нежные, ароматные. Напитки вкусные, коктейль молочный супер!                    ",1
