Review,Status
" Добрый день! Ужасное место! Еда холодная, булки сломанные. Необходимо обязательно проверять свой заказ, так как часто путают еду. Кофе подают не то что заказывали, и оно постоянно холодное! Были там раз пять и ни разу не пили хотя бы теплое кофе!...  читать  полностью ",0
" 02, 01, 2022 я с ребенком зашла в кфс Братеевский и заказала через киоск себе кофе, а ребенку мороженое в вафельном стаканчике. Заказ получила быстро, но при получении заказа около кассы у меня упало мороженое на поднос т. к. его поставили...  читать  полностью ",0
" Сделал заказ в 12:23. Время доставки назначили на 13:15. На минуточку другие сервисы доставляют за 25-35 минут, так как в шаговой доступности 10-15 минут 2 (два!) ресторана. Ближе к 13 статус изменился на заказ готов, потом на заказ в пути. Время...  читать  полностью ",0
" Оформила заказ в 18:28, постоянно увеличивают время доставки. Должны были привезти в 19:15, потом прислали смс что привезут до 19. 45с в приложении в 20:15, потом в 20:30, на данный момент уже в 20:45! Никогда больше не закажу у них! Никогда не буду...  читать  полностью ",0
 Вчера делали заказ в КФС в Меге Теплый Стан. Заказали картофель фри. Кассир из Киргизии просил подождать ровно 1 час пока они приготовят. Согласились заменить на картофель по-деревенски. Клубничного коктейля тоже не оказалось. Пробили шоколадный....  читать  полностью ,0
" Сегодня посетили Кфс в Атриуме на Курской и были крайне не довольны. На сайтах выложены купоны на скидку, но кассир хамовато ответил, что сейчас купоны не работаю, мы хотели узнать почему, если есть реклама на них, но тут подключился я так поняла...  читать  полностью ",0
" Нормальное заведение, в принципе все не плохо, но меня очень удивило, когда на кассе, некая азиля спросила у меня паспорт). Мне уже давно не 18 лет и свои права я знаю, а вот с недобросовестным ""сотрудником"" и врушкой надо работать! Она же...  читать  полностью ",0
 Не докладывают еду.  ,0
" Просто достали, три машины они обслуживают 20 минут, а это на минуточку ресторан БЫСТРОГО питания, не докладывают в заказ соусы, и насыпают гору антибактериальных салфеток. Скоро к вам перестанут ездить люди.  ",0
" Заказали стрипсы не острые. Принесли горелые и почему -то острые. Они, что тупые что ли работать не умеют??? Позорище. Больше туда ни ногой. Сами жрите свою горелую курицу. Приятного аппетита.  ",0
"
            Не обслуживают вовремя! Приходится всегда ждать!                    ",0
"
            Вроде как был раньше нормальной придорожной забеголовкой или мне просто везло ранее!
Но 21 ноября 2020 через доставку сделал этот заказ и о чудо мне привезли 6 куриных ног 2х дневной давности подогретые в микроволновке:) Но я то не промах,...                            читать
                    полностью
",0
